CRS ID,Surname,Preferred name,College,,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Group,Allocated to
stu181,firstname181,lastname181,T,,F-gjeh2-2,C-pok21-5,C-pok21-4,F-cer54-1,F-cer54-2,F,"F-gjeh2-2
*"
stu182,firstname182,lastname182,JE,,D-jab311-1,D-mspg1-7,D-sdg13-4,D-jab311-4,,D,"D-jab311-1
*"
stu183,firstname183,lastname183,Q,,C-pok21-4,B-pgt23-2,C-pok21-2,C-ajk61-1,,B,"B-pgt23-2
*"
stu184,firstname184,lastname184,G,,C-hemh1-2,A-sh372-1,A-ajw36-2,,,C,"C-hemh1-2
*"
stu185,firstname185,lastname185,CC,.,B-par10-2,B-tdw13-1,B-smg84-5,B-tdw13-2,B-cd229-3,B,"B-lgo23-2
*"
stu186,firstname186,lastname186,CHR,,F-jl221-3,B-tdw13-1,F-sjg30-2,F-sjg30-4,F-jmh233-2,F,F-jl221-3
stu187,firstname187,lastname187,CL,.,D-sas229-1,B-par10-2,B-par10-1,B-par10-3,C-djc13-1,B,"B-mjc87-2
*"
stu188,firstname188,lastname188,EM,,F-jl221-1,F-ff286-2,C-ajk61-1,D-ib340-3,C-pok21-3,F,"F-jl221-1
*"
stu189,firstname189,lastname189,K,,A-nra27-1,B-smg84-5,,,,A,A-nra27-1
stu190,firstname190,lastname190,CAI,,A-rg471-3,,,,,A,A-rg471-3
stu191,firstname191,lastname191,PEM,,C-djc13-1,F-cer54-1,C-djc13-3,F-jmh233-1,B-pgt23-2,C,"C-djc13-1
*"
stu192,firstname192,lastname192,F,,A-amb233-2,A-sh372-2,C-gjm31-1,A-sh372-1,,A,"A-amb233-2
*"
stu193,firstname193,lastname193,PEM,,F-wjb31-1,,,,,F,F-wjb31-1
stu194,firstname194,lastname194,DOW,,D-mag92-1,F-sjg30-1,F-jmh233-3,F-cer54-1,,D,"D-mag92-1
*"
stu195,firstname195,lastname195,CHU,,A-em257-1,A-ajw36-2,A-amb233-1,A-sh372-2,,A,A-em257-1
stu196,firstname196,lastname196,CL,,C-gjm31-3,C-hemh1-3,C-dc29-3,D-sdg13-4,,C,"C-gjm31-3
*"
stu197,firstname197,lastname197,CHR,,F-gv103-1,F-jl221-1,F-mjfg100-3,,,,
stu198,firstname198,lastname198,PEM,,,,,,,,
stu199,firstname199,lastname199,R,,F-mjfg100-4,,,,,F,"F-mjfg100-4
*"
stu200,firstname200,lastname200,Q,,F-ff286-b15480,,,,,F,F-ff286-b15480
stu201,firstname201,lastname201,HO,,D-jma42-1,F-ff286-2,B-mjc87-1,C-ajk61-1,,D,"D-jma42-1
*"
stu202,firstname202,lastname202,EM,,C-djc13-3,B-smg84-4,B-par10-2,,,C,"C-djc13-3
*"
stu203,firstname203,lastname203,DOW,,B-gm603-3,B-th270-1,B-par10-1,B-th270-5,B-aas41-3,B,B-gm603-3
stu204,firstname204,lastname204,DOW,,F-sjg30-3,C-djc13-3,C-ajk61-1,,,F,"F-sjg30-3
*"
stu205,firstname205,lastname205,SE,,D-aa22-3,A-jmc99-2,A-jmc99-4,F-sb2330-2,,D,"D-aa22-3
*"
stu206,firstname206,lastname206,G,,A-mv234-2,,,,,A,A-mv234-2
stu207,firstname207,lastname207,EM,,C-dus20-2,A-gtp10-1,C-yysh2-1,,,C,"C-dus20-2
*"
stu208,firstname208,lastname208,PEM,,B-tl322-b15527,,,,,B,B-tl322-b15527
stu209,firstname209,lastname209,SID,,F-pw117-3,F-pw117-2,F-swp29-1,,,F,"F-pw117-3
*"
stu210,firstname210,lastname210,F,,F-ff286-b15505,,,,,F,F-ff286-b15505
stu211,firstname211,lastname211,Q,,F-rc10001-1,,,,,F,F-rc10001-1
stu212,firstname212,lastname212,F,,D-sdg13-1,C-dc29-3,C-dc29-1,C-mpfs1-6,C-aas41-2,D,"D-sdg13-1
*"
stu213,firstname213,lastname213,T,,F-smg84-1,,,,,F,F-smg84-1
stu214,firstname214,lastname214,Q,,A-cjc95-1,,,,,A,A-cjc95-1
stu215,firstname215,lastname215,HO,,A-cah1003-3,A-rjm76-2,A-hb209-1,,,A,"A-cah1003-3
*"
stu216,firstname216,lastname216,PEM,,D-jml1010-1,D-jml1010-4,D-fam20-3,D-fam20-1,D-aa22-2,D,"D-jml1010-1
*"
stu217,firstname217,lastname217,SID,,B-ajf23-3,C-jhd25-3,B-lgo23-2,B-rvp11-1,,B,B-ajf23-3
stu218,firstname218,lastname218,K,,C-jpj1001-2,A-aw329-2,A-sh372-1,,,A,A-sh372-1
stu219,firstname219,lastname219,CHU,,C-ajk61-1,B-par10-3,D-sas229-1,,,C,"C-ajk61-1
*"
stu220,firstname220,lastname220,CAI,,B-hjj28-2,B-cd229-1,B-hjj28-1,B-ajf23-4,B-ajf23-2,B,"B-hjj28-2
*"
stu221,firstname221,lastname221,SID,,C-am253-1,F-cer54-1,F-gjeh2-1,,,F,"F-gjeh2-1
*"
stu222,firstname222,lastname222,CHU,,C-pjgl2-2,B-par10-3,C-yysh2-1,B-tdw13-1,B-lgo23-1,C,"C-pjgl2-2
*"
stu223,firstname223,lastname223,T,,F-rc10001-1,F-jjc75-2,C-pok21-3,B-gmb49-2,C-ajk61-1,F,"F-jjc75-2
*"
stu224,firstname224,lastname224,JE,,D-cjb19-1,,,,,D,"D-cjb19-1
*"
stu225,firstname225,lastname225,HO,,,,,,,,
stu226,firstname226,lastname226,G,,B-smg84-4,C-pok21-3,C-pok21-5,C-pok21-2,B-smg84-3,B,"B-smg84-4
*"
stu227,firstname227,lastname227,F,,,,,,,,
stu228,firstname228,lastname228,JN,,B-smg84-4,B-smg84-5,C-jhd25-2,B-rvp11-2,B-sh315-2,B,"B-rvp11-2
*"
stu229,firstname229,lastname229,Q,,D-dp673-1,D-aa22-2,C-yysh2-2,C-ts573-1,,D,"D-dp673-1
*"
stu230,firstname230,lastname230,SE,.,D-ib340-1,,,,,D,"D-ib340-4
*"
stu231,firstname231,lastname231,CHR,,B-smg84-2,F-js851-2,C-pjgl2-1,B-tdw13-2,B-pgt23-2,B,"B-smg84-2
*"
stu232,firstname232,lastname232,G,,F-ahg13-3,,,,,F,"F-ahg13-3
*"
stu233,firstname233,lastname233,G,,F-rc10001-2,F-jl221-1,F-op205-1,,,F,F-rc10001-2
stu234,firstname234,lastname234,DOW,,F-mcs1000-2,F-ff286-1,C-hemh1-2,,,F,F-mcs1000-2
stu235,firstname235,lastname235,R,,C-ts573-2,C-pok21-5,F-jl221-1,B-smg84-2,C-pjgl2-1,C,"C-pok21-5
*"
stu236,firstname236,lastname236,CAI,,A-mv234-1,,,,,A,"A-mv234-1
*"
